production_sku,current_name,supplier_sku,mapping_ppp_sku,ppp_name,api_status,name_tokens_shared,confidence
PLF-SQ-4,Square Plate,ELP8SP,ELP8SP,Palm Leaf 8in Square Palm Plate Compostable (Case of 100),live,2,high
PLF-SQ-5,Square Plate,ELP9.5SP,ELP9.5SP,Palm Leaf 9in Square Palm Plate Compostable (Case of 100),live,2,high
PLF-SQ-6,Square Plate,ELP10SP,ELP10SP,Palm Leaf 10in Square Palm Plate Compostable (Case of 100),live,2,high
PLT,Medium Platter Box with Insert,12169,12169,Medium Platter Box with Insert Recyclable/Compostable (Case of 50),live,5,high
POT-1,Portion Pot Lid,D18005,D18005,1oz Paper Portion Pot Lid (44mm) Recyclable (Case of 2000),live,3,high
POT-1-CL,Portion Pot Lid,A18002,A18002,1 oz Clear PET Portion Pot Lid – Recyclable,live,3,high
POT-1-CL-2,Portion Pot,A18001,A18001,1 oz Clear PP Portion Pot – Recyclable,live,2,high
POT-1-KR-3,Portion Pot,D18001,D18001,1oz Kraft Paper Portion Pot Recyclable (Case of  4000),live,2,high
POT-2,Portion Pot Lid,D18006,D18006,"2oz, 3oz, 4oz Paper Portion Pot Lid (62mm) Recyclable (Case of 1500)",live,3,high
POT-2-2,Souffle Portion Pot,75001,75001,2oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),live,3,high
POT-2-3,Portion Pot Lid,10360.02,10360.02,2oz Bagasse Portion Pot  Lid Recyclable/Compostable (Case of 200),live,3,high
POT-2-CL,Portion Pot Lid,A18004Z,A18004Z,2 oz Clear PET Portion Pot Lid – Recyclable,live,3,high
POT-2-CL-2,Portion Pot,A18003,A18003,2 oz Clear PP Portion Pot – Recyclable,live,2,high
POT-2-KR,Portion Pot,D18002,D18002,2oz Kraft Paper Portion Pot Recyclable (Case of 3000),live,2,high
POT-25-CL,Portion Pot,A18005,A18005,3.25 oz Clear PP Portion Pot – Recyclable,live,2,high
POT-3-KR,Portion Pot,D18003,D18003,3oz Kraft Paper Portion Pot Recyclable (Case of 3000),live,2,high
POT-4,Souffle Portion Pot,11080.04,11080.04,4oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),live,3,high
POT-4-2,Portion Pot Lid,10360.04,10360.04,4oz Bagasse Portion Pot  Lid Recyclable/Compostable (Case of 500),live,3,high
POT-4-CL,Portion Pot,A18006,A18006,4 oz Clear PP Portion Pot – Recyclable,live,2,high
POT-4-KR,Portion Pot,D18004,D18004,4oz Kraft Paper Portion Pot Recyclable (Case of 3000),live,2,high
POT-5-CL,3.25/4/ Portion Pot Lid,A18008,A18008,3.25/4/5.5 oz Clear PET Portion Pot Lid,live,6,high
POT-5-CL-2,Portion Pot,A18007,A18007,5.5 oz Clear PP Portion Pot – Recyclable,live,2,high
SAN,Small Hot Pillow Pack,10374,10374,Small Hot Pillow Pack (Case of 250),live,4,high
SAN-6-KR,Bloomer Bag NatureFlex Window,VBLOOM2,VBLOOM2,Kraft Bloomer Bag 6″ x 3″ x 9″ – NatureFlex Window,live,4,high
SAN-SW,Sandwich Bag with Film Packaging for Wraps Rolls,4422KR-FSC,4422KR-FSC,Sandwich Bag with Film – Recyclable Packaging for Wraps  Rolls,live,8,high
SAN-SW-KR,Sandwich Card,KSC5,KSC5,Kraft Sandwich Card Recyclable/Compostable  5 x 5in (Case of 500),live,2,high
SAN-TR,Long Tortilla Bag with Film Wrap Packaging,293C-FSC,293C-FSC,Long Tortilla Bag with Film – Recyclable Wrap Packaging,live,7,high
SAN-TY-KR,Baguette Tray,01NTBT,01NTBT,Kraft Baguette Tray Compostable (Case of 500),live,2,high
SPC-16,Vented Lids Fits,A19003,A19003,16oz Plastic Vented Lids  fits 16oz Recyclable (Case of 500),live,3,high
SPC-16-KR,Vented Lids Fits,D46023,D46023,16oz Kraft Paper Vented Lids  fits 16oz Recyclable (Case of 500),live,3,high
SPC-26,Vented Lids Fits,49013,49013,26oz -32oz Plastic Vented Lids  fits 26oz -32oz Recyclable (Case of 500),live,3,high
SPC-26-KR,Vented Lids,49021,49021,26oz -32oz Kraft Paper Vented Lids  fits 26oz -32oz Recyclable (Case of 500),live,2,high
SPC-26-KR-2,Heavy Duty Soup Container,49018,49018,26oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),live,4,high
SPC-32-KR,Heavy Duty Soup Container,49019,49019,32oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),live,4,high
SPC-8,Vented Lids,A19002,A19002,8oz -12oz Plastic Vented Lids  fits 8oz -12oz Recyclable (Case of 500),live,2,high
SPC-8-KR,Heavy Duty Lid Planetware,D46022,D46022,8oz/12oz Kraft Heavy Duty Lid Recyclable Planetware (Case of 500),live,4,high
STR-10-WH,Straw Food-Safe,10W200X20X80,10W200X20X80,White Paper Straw 10mm x 200mm – Recyclable  Food-Safe,live,3,high
STR-12-WH,Angle-Cut Straws,10203.04,10203.04,12 mm  Red/White Angle-Cut Paper Straws (Case of 3000),live,3,high
STR-200-WH,Straws (Individually Wrapped),D22041,D22041,White Paper Straws Individually Wrapped  – 200 mm × 8 mm,live,3,high
STR-6-BK-2,White / Black Straw,6200BLW,6200BLW,Black/White Paper Straw 6mm x 200mm – Recyclable  Food-Safe,live,3,high
STR-8-WH-2,Jumbo Straw Wrapped 7.8,PS08-WWL,PS08-WWL,Jumbo White 8mm Paper Straw Wrapped 7.8 – Compostable  Recyclable,live,5,high
STR-CK-6-BK,Cocktail Straw,6B140X20X250N,6B140X20X250N,Black Paper Cocktail Straw 6mm x 140mm – Recyclable  Food-Safe,live,2,high
STR-CK-6-WH,Cocktail Straw,6W140X20X250,6W140X20X250,White Paper Cocktail Straw 6mm x 140mm – Recyclable  Food-Safe,live,2,high
STR-SP-8-WH,Spoon Straw Food Safe,10204.04,10204.04,Red/White Paper Spoon Straw 8mm x 200mm – Recyclable  Food-Safe),live,4,high
SUN,Release Agent Spray PR100,PR100,PR100,Release Agent Spray PR100,live,4,high
SUN-57,Thermal Till/PDQ Roll Chip N Pin,TR57-30,TR57-30,Thermal Till/PDQ Roll 57mm x 30mm Chip N Pin (Pack of 20),live,7,high
SUN-57-2,Thermal Till/PDQ Roll Chip N Pin,TR57-38,TR57-38,Thermal Till/PDQ Roll 57mm x 38mm Chip N Pin (Pack of 20),live,7,high
SUN-80,Thermal Till Rolls,TR80-76,TR80-76,Thermal Till Rolls 80mm x 76mm (Pack of 20),live,3,high
SUN-BL,Centrefeed Roll 2 Ply,7307-case-,7307-case-,Blue Centrefeed Roll 2 Ply (Case of 6),live,4,high
SUN-CL,Large Food Handling Gloves,10640.04,10640.04,Large Clear Food Handling Gloves Recyclable (Case of 1000),live,4,high
SUN-CL-2,Medium Food Handling Gloves,10640.03,10640.03,Medium Clear Food Handling Gloves Recyclable (Case of 1000),live,4,high
SUN-LB-100,Shelf Life Labels,DAY-L-D,DAY-L-D,Shelf Life Labels 50x100mm (Pack of 500),live,3,high
SUN-LB-50,Allergen Contents Label,ALL-LABEL,ALL-LABEL,Allergen Contents Label 50mm (Pack of 500),live,3,high
SUN-LB-50-RD,Removable Use First Labels,USE-F,USE-F,50mm Removable Use First Red Labels,live,4,high
SUN-LB-65-RD,Removable Food Rotation Labels Day Label (Roll of 500),DAY-L,DAY-L,Removable Food Rotation Labels Red Day Label 50x65mm (Roll of 500),live,9,high
SUN-LB-95,Allergen Contents Label Date Prep Info,DAY-ALL,DAY-ALL,Allergen Contents Label  Date  Prep Info 60x95mm (Pack of 500),live,6,high
SUN-RD-19,Day Food Rotation Labels Complete Set 7 Days Round (7 Rolls of 1000),DD-A-W,DD-A-W,Day Food Rotation Labels Complete Set 7 Days 19mm Round (7 rolls of 1000),live,12,high
SUN-RD-20,Day Food Rotation Labels Round Sunday (Roll of 1000),DD-SU,DD-SU,Day Food Rotation Labels Round 20mm Sunday (Roll of 1000),live,9,high
SUN-RD-20-2,Day Food Rotation Labels Round Saturday (Roll of 1000),DD-S,DD-S,Day Food Rotation Labels Round 20mm Saturday (Roll of 1000),live,9,high
SUN-RD-20-3,Day Food Rotation Labels Round Friday (Roll of 1000),DD-F,DD-F,Day Food Rotation Labels Round 20mm Friday (Roll of 1000),live,9,high
SUN-RD-20-4,Day Food Rotation Labels Round Thursday (Roll of 1000),DD-TH,DD-TH,Day Food Rotation Labels Round 20mm Thursday (Roll of 1000),live,9,high
SUN-RD-20-5,Day Food Rotation Labels Round Wednesday (Roll of 1000),DD-W,DD-W,Day Food Rotation Labels Round 20mm Wednesday (Roll of 1000),live,9,high
SUN-RD-20-6,Day Food Rotation Labels Round Tuesday (Roll of 1000),DD-T,DD-T,Day Food Rotation Labels Round 20mm Tuesday (Roll of 1000),live,9,high
SUN-RD-20-7,Day Food Rotation Labels Round Monday (Roll of 1000),DD-M,DD-M,Day Food Rotation Labels Round 20mm Monday (Roll of 1000),live,9,high
SUN-SQ-25,Square 7 Day Food Rotation Labels Mon Sun ( Rolls of 1000),DD-A-S-W,DD-A-S-W,Square 7 Day Food Rotation Labels 25mm Mon  Sun (7 x Rolls of 1000),live,11,high
SUN-SQ-25-2,Square Day Food Rotation Labels Sunday (Roll of 1000),DD-SU-SQ,DD-SU-SQ,Square Day Food Rotation Labels 25mm Sunday (Roll of 1000),live,9,high
SUN-SQ-25-3,Square Day Food Rotation Labels Saturday (Roll of 1000),DD-S-SQ,DD-S-SQ,Square Day Food Rotation Labels 25mm Saturday (Roll of 1000),live,9,high
SUN-SQ-25-4,Square Day Food Rotation Labels Friday (Roll of 1000),DD-F-SQ,DD-F-SQ,Square Day Food Rotation Labels 25mm Friday (Roll of 1000),live,9,high
SUN-SQ-25-5,Square Day Food Rotation Labels Thursday (Roll of 1000),DD-TH-SQ,DD-TH-SQ,Square Day Food Rotation Labels 25mm Thursday (Roll of 1000,live,9,high
SUN-SQ-25-6,Square Day Food Rotation Labels Wednesday (Roll of 1000),DD-W-SQ,DD-W-SQ,Square Day Food Rotation Labels 25mm Wednesday (Roll of 1000),live,9,high
SUN-SQ-25-7,Square Day Food Rotation Labels Tuesday (Roll of 1000),DD-T-SQ,DD-T-SQ,Square Day Food Rotation Labels 25mm Tuesday (Roll of 1000),live,9,high
SUN-SQ-25-8,Square Day Food Rotation Labels Monday (Roll of 1000),DD-M-SQ,DD-M-SQ,Square Day Food Rotation Labels 25mm Monday (Roll of 1000),live,9,high
