afida_sku,ppp_sku,name,category,size,material,colour,pack_size,pack_price,certifications,description,website_url,product_weight,product_length,product_width,product_height,case_length,case_width,case_depth,case_volume,case_weight,additional_specs
SPC-16,A19003,16oz Plastic Vented Lids fits 16oz Recyclable (Case of 500),Hot Food,"8oz, 12oz","pla, plastic",,500,19.2,Recyclable,The 8oz / 12oz plastic Vented Lids Fits is made from durable plastic for reliable everyday use. A lid designed for food bowls that provides a secure fit while venting steam to prevent condensation and sogginess. Keeps contents fresh during transport and display.,https://afida.com/products/vented-lids-fits-2,,,,,,,,,3 kg,
POT-1-KR-3,D18001,1oz Kraft Paper Portion Pot Recyclable (Case of 4000),Hot Food,,"kraft, paper",Brown/Kraft,4000,61.59,Recyclable,"The kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-2,,,,,,,,,7 kg,
POT-1,D18005,1oz Paper Portion Pot Lid (44mm) Recyclable (Case of 2000),Hot Food,,"kraft, paper",,2000,50.1,Recyclable,"The paper Portion Pot Lid is made from responsibly sourced paper. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-lid-2,,,,,,,,,4 kg,
POT-2-CL,A18004Z,2 oz Clear PET Portion Pot Lid – Recyclable,Hot Food,2 oz,pet,Clear,2500,21,Recyclable,"The 2 oz clear Portion Pot Lid. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-lid-3,,,,,,,,,,
POT-2-CL-2,A18003,2 oz Clear PP Portion Pot – Recyclable,Hot Food,2 oz,pp,Clear,2500,25.6,Recyclable,"The 2 oz clear Portion Pot. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-3,2 oz / approx. 60 ml,,,,,,,,,
BOX-26-WH,D42130,26 oz White Food Pail PE-Lined – Leak-Resistant Recyclable,Hot Food,26 oz,,White,500,48,Recyclable,"The 26 oz white Food Pail PE-Lined Leak-Resistant. A PE-lined food pail designed for noodles, rice, curries, and saucy dishes. The leak-resistant lining keeps liquids contained. The pail shape is easy to hold and eat from directly. Folds closed for a secure takeaway seal. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-pail-pe-lined-leak-resistant,Approx. 0.7 lbs,Approx. 4.75 in,Approx. 4.75 in,,,,,,,
SPC-26-KR,49021,26oz -32oz Kraft Paper Vented Lids fits 26oz -32oz Recyclable (Case of 500),Hot Food,"26oz, 32oz","kraft, paper",Brown/Kraft,2500,21,Recyclable,"The 26oz / 32oz kraft Vented Lids Fits is constructed from kraft board, an unbleached paper with natural strength. A lid designed for food bowls that provides a secure fit while venting steam to prevent condensation and sogginess. Keeps contents fresh during transport and display.",https://afida.com/products/vented-lids-fits-3,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
SPC-26,49013,26oz -32oz Plastic Vented Lids fits 26oz -32oz Recyclable (Case of 500),Hot Food,"26oz, 32oz","pla, plastic",,500,21.32,Recyclable,The 26oz / 32oz plastic Vented Lids Fits is made from durable plastic for reliable everyday use. A lid designed for food bowls that provides a secure fit while venting steam to prevent condensation and sogginess. Keeps contents fresh during transport and display.,https://afida.com/products/vented-lids-fits-4,,,,,,,,,3 kg,
SPC-26-KR-2,49018,26oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),Hot Food,"26oz, 32oz","kraft, paper, pla, pp, plastic",Brown/Kraft,500,64.26,Recyclable / Compostable,"The 26oz / 32oz kraft Heavy Duty Soup Container is constructed from kraft board, an unbleached paper with natural strength. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.",https://afida.com/products/heavy-duty-soup-container,,,,,,,,,10 kg,
POT-2-3,10360.02,2oz Bagasse Portion Pot Lid Recyclable/Compostable (Case of 200),Hot Food,2oz,"bagasse, pla, fibre",,200,31.99,Recyclable / Compostable,"The 2oz bagasse Portion Pot Lid is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-lid-4,,,,,,,,,7 kg,
POT-2-KR,D18002,2oz Kraft Paper Portion Pot Recyclable (Case of 3000),Hot Food,,"kraft, paper",Brown/Kraft,3000,60.06,Recyclable,"The kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-4,,,,,,,,,8 kg,
POT-2-2,75001,2oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),Hot Food,2oz,"paper, pla",,5000,55.1,"Compostable, Biodegradable","The 2oz paper Souffle Portion Pot is made from responsibly sourced paper. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Compostable and biodegradable - designed to return to the earth. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/souffle-portion-pot,,,,,,,,,7 kg,
POT-2,D18006,"2oz, 3oz, 4oz Paper Portion Pot Lid (62mm) Recyclable (Case of 1500)",Hot Food,,"kraft, paper",,1500,44.67,Recyclable,"The paper Portion Pot Lid is made from responsibly sourced paper. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-lid-5,,,,,,,,,4 kg,
POT-25-CL,A18005,3.25 oz Clear PP Portion Pot – Recyclable,Hot Food,25 oz,pp,Clear,2500,38.4,Recyclable,"The 25 oz clear Portion Pot. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
POT-5-CL,A18008,3.25/4/5.5 oz Clear PET Portion Pot Lid,Hot Food,5 oz,pet,Clear,2500,32,Recyclable,"The 5 oz clear 3.25/4/ Portion Pot Lid. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/3-25-4-portion-pot-lid,,,,,,,,,,
SPC-32-KR,49019,32oz Kraft Heavy Duty Soup Container Recyclable (Case of 500),Hot Food,"32oz, 26oz","kraft, paper, pla, pp, plastic",Brown/Kraft,500,72.55,Recyclable,"The 32oz / 26oz kraft Heavy Duty Soup Container is constructed from kraft board, an unbleached paper with natural strength. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.",https://afida.com/products/heavy-duty-soup-container-2,,,,,,,,,12 kg,
POT-3-KR,D18003,3oz Kraft Paper Portion Pot Recyclable (Case of 3000),Hot Food,,"kraft, paper",Brown/Kraft,3000,62.4,Recyclable,"The kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 kg,
POT-4-CL,A18006,4 oz Clear PP Portion Pot – Recyclable,Hot Food,4 oz,pp,Clear,2500,44.8,Recyclable,"The 4 oz clear Portion Pot. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
POT-4-2,10360.04,4oz Bagasse Portion Pot Lid Recyclable/Compostable (Case of 500),Hot Food,4oz,"bagasse, pla, fibre",,500,48.37,Recyclable,"The 4oz bagasse Portion Pot Lid is made from bagasse (sugarcane fibre), a renewable byproduct of sugar production. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-lid-6,,,,,,,,,5 kg,
POT-4-KR,D18004,4oz Kraft Paper Portion Pot Recyclable (Case of 3000),Hot Food,,"kraft, paper",Brown/Kraft,3000,67.34,Recyclable / Compostable,"The kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-8,,,,,,,,,10 kg,
POT-4,11080.04,4oz Souffle Paper Portion Pot Recyclable/Compostable (Case of 5000),Hot Food,4oz,"paper, pla",,5000,77.3,"Compostable, Biodegradable","The 4oz paper Souffle Portion Pot is made from responsibly sourced paper. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Compostable and biodegradable - designed to return to the earth. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/souffle-portion-pot-2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9 kg,
POT-5-CL-2,A18007,5.5 oz Clear PP Portion Pot – Recyclable,Hot Food,5 oz,pp,Clear,2500,58,Recyclable,"The 5 oz clear Portion Pot. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/portion-pot-9,5.5 oz / approx. 160 ml,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,
SPC-8,A19002,8oz -12oz Plastic Vented Lids fits 8oz -12oz Recyclable (Case of 500),Hot Food,"8oz, 12oz","pla, plastic",,500,18.88,Recyclable,The 8oz / 12oz plastic Vented Lids Fits is made from durable plastic for reliable everyday use. A lid designed for food bowls that provides a secure fit while venting steam to prevent condensation and sogginess. Keeps contents fresh during transport and display.,https://afida.com/products/vented-lids-fits-5,,,,,,,,,3 kg,
SPC-8-KR,D46022,8oz/12oz Kraft Heavy Duty Lid Recyclable Planetware (Case of 500),Hot Food,,"kraft, paper, pp",Brown/Kraft,500,38.85,Recyclable,"The kraft Heavy Duty Lid Planetware is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport.",https://afida.com/products/heavy-duty-lid-planetware,,,,,,,,,5 kg,
BWL-1300-KR,D48003,Extra Large Round Kraft Food Bowl 1300ml Recyclable (Case of 300),Hot Food,Large,"kraft, pp",Brown/Kraft,300,43.55,Recyclable,"The kraft Extra Large Round Food Bowl is constructed from kraft board, an unbleached paper with natural strength. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/extra-large-round-food-bowl,,,,,,,,,9 kg,
CNT-1000-KR,D48102,Kraft Food Tray 1000 ml – Recyclable PE-Lined,Hot Food,1000 ml,"kraft, pp",Brown/Kraft,300,37.9,Recyclable,"The 1000 ml kraft Food Tray PE-Lined is constructed from kraft board, an unbleached paper with natural strength. A sturdy food tray for serving, display, and transport. Lined interior resists grease and moisture. Rectangular shape fits standard warming units and display cabinets. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/food-tray-pe-lined,/,/,/,/,/,/,/,/,7 kg,
CNT-1000-KR-2,10037,Kraft Food Tray 1000ml Stagione Recyclable (Case of 300),Hot Food,,pp,Brown/Kraft,300,77.98,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione,N/A,170mm,120mm,77mm,170mm,120mm,77mm,N/A,N/A,
CNT-150-KR,10039,Kraft Food Tray 150ml Stagione Recyclable (Case of 500),Hot Food,,pp,Brown/Kraft,500,82.15,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione-2,Not specified,108/80mm,97/69mm,33mm,108/80mm,97/69mm,33mm,Not specified,Not specified,
CNT-250-KR,10040,Kraft Food Tray 250ml Stagione Recyclable (Case of 500),Hot Food,,pp,Brown/Kraft,500,98.88,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione-3,N/A,91mm,63mm,50mm,108mm,80mm,50mm,N/A,N/A,
CNT-500-KR-3,10035,Kraft Food Tray 500ml Stagione Recyclable (Case of 300),Hot Food,,pp,Brown/Kraft,300,69.47,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione-4,,170mm,100mm,41mm,152mm,120mm,41mm,,,
CNT-650-KR,68003,Kraft Food Tray 650 ml – Recyclable PE-Lined,Hot Food,650 ml,"kraft, pp",Brown/Kraft,300,42.55,Recyclable,"The 650 ml kraft Food Tray PE-Lined is constructed from kraft board, an unbleached paper with natural strength. A sturdy food tray for serving, display, and transport. Lined interior resists grease and moisture. Rectangular shape fits standard warming units and display cabinets. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/food-tray-pe-lined-2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,7 kg,
CNT-650-KR-2,10038,Kraft Food Tray 650ml Stagione Recyclable (Case of 300),Hot Food,,pp,Brown/Kraft,300,72.08,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione-5,N/A,170mm,120mm,51mm,N/A,N/A,N/A,N/A,N/A,
CNT-750-KR,D48101,Kraft Food Tray 750 ml – Recyclable PE-Lined,Hot Food,750 ml,"kraft, pp",Brown/Kraft,300,34.2,Recyclable,"The 750 ml kraft Food Tray PE-Lined is constructed from kraft board, an unbleached paper with natural strength. A sturdy food tray for serving, display, and transport. Lined interior resists grease and moisture. Rectangular shape fits standard warming units and display cabinets. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/food-tray-pe-lined-3,,,,,,,,,7 kg,
CNT-750-KR-2,10036,Kraft Food Tray 750ml Stagione Recyclable (Case of 300),Hot Food,,pp,Brown/Kraft,300,73.77,Recyclable,"The kraft Food Tray Stagione is constructed from kraft board, an unbleached paper with natural strength. A premium Stagione food tray designed for attractive, plated food presentation. Sturdy construction holds hot and cold foods securely. The rectangular shape maximises display space. Pairs with Stagione lids for sealed service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-tray-stagione-6,Not specified,170mm,120mm,57mm,Not specified,Not specified,Not specified,Not specified,Not specified,
CNT-KR,10161,Kraft PP Lined Lid Stagione Recyclable (Case of 300),Hot Food,,pp,Brown/Kraft,300,85.89,Recyclable,"The kraft Lined Lid Stagione is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid designed for Stagione food trays. Keeps contents fresh, visible, and protected during display, transport, and storage. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/lined-lid-stagione,N/A,170mm,120mm,18mm,N/A,N/A,N/A,N/A,N/A,
CNT-500-KR-2,D48100,Kraft Rectangle Food Tray 500 ml – Recyclable PE-Lined,Hot Food,,pp,Brown/Kraft,300,29.66,Recyclable,"The kraft Rectangle Food Tray PE-Lined is constructed from kraft board, an unbleached paper with natural strength. A sturdy food tray for serving, display, and transport. Lined interior resists grease and moisture. Rectangular shape fits standard warming units and display cabinets. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/rectangle-food-tray-pe-lined,,,,,,,,,6 kg,
BWL-1000-KR-3,D48002,Large Kraft Round Food Bowl 1000ml Recyclable (Case of 300) (149mm Diameter),Hot Food,1000ml,"kraft, pla, pet, pp",Brown/Kraft,300,32.78,Recyclable,"The 1000ml kraft Large Round Food Bowl ( Diameter) is constructed from kraft board, an unbleached paper with natural strength. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",https://afida.com/products/large-round-food-bowl-diameter,,,149mm,,,,,,7 kg,
FOL-7,10810.01,No. 1 Aluminium Foil Food Containers Recyclable 250ml/8.7oz (Case of 1000),Hot Food,33mm,foil,,1000,30.99,Recyclable,"The 33mm foil No. 1 Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-1-aluminium-food-containers,,122mm,100mm,33mm,122mm,100mm,33mm,,5 kg,
FOL-16,10810.02,No. 2 Aluminium Foil Food Containers Recyclable 470ml/16oz (Case of 1000),Hot Food,33mm,foil,,1000,43.5,Recyclable,"The 33mm foil No. 2 Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-2-aluminium-food-containers,,141mm,116mm,41mm,122mm,100mm,33mm,,6 kg,
FOL-30,10810.06,No. 6 Aluminium Foil Food Containers Recyclable 860ml/30oz (Case of 500),Hot Food,54mm,foil,,500,46.9,Recyclable,"The 54mm foil No. 6 Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-6-aluminium-food-containers,,217mm,114mm,54mm,217mm,114mm,54mm,,6 kg,
FOL-24,10810.06A,No. 6a Aluminium Foil Food Containers Recyclable 700ml/24oz (Case of 500),Hot Food,48mm,foil,,500,33.59,Recyclable,"The 48mm foil No. 6a Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-6a-aluminium-food-containers,,197mm,105mm,49mm,202mm,122mm,48mm,,5 kg,
FOL-RD-32,10810.12,No.12 Round Aluminium Foil Food Containers Recyclable 920ml/32oz (Case of 400),Hot Food,44mm,foil,,400,31.5,Recyclable,"The 44mm foil No.12 Round Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-12-round-aluminium-food-containers,N/A,N/A,185mm,44mm,N/A,185mm,44mm,N/A,4 kg,
FOL-73,10810.09D,No.9 Deep Aluminium Foil Food Containers Recyclable 2100ml/73oz (Case of 200),Hot Food,50mm,foil,,200,34.7,Recyclable,"The 50mm foil No.9 Deep Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-9-deep-aluminium-food-containers,not specified,230mm,230mm,50mm,230mm,230mm,50mm,not specified,5 kg,
FOL-52,10810.09S,No.9 Shallow Aluminium Foil Food Containers Recyclable 1500ml/52oz (Case of 200),Hot Food,38mm,foil,,200,32.99,Recyclable,"The 38mm foil No.9 Shallow Aluminium Food Containers is made from aluminium foil for excellent heat retention and barrier protection. An aluminium food container that goes from freezer to oven to table. Excellent heat conductivity ensures even cooking and reheating. Strong, lightweight, and fully recyclable. Widely used in catering, meal delivery, and commercial kitchens.",https://afida.com/products/no-9-shallow-aluminium-food-containers,0,230mm,230mm,38mm,230mm,230mm,38mm,0,5 kg,
BWL-1000-KR,A48001,"PET Kraft Food Bowl Lids For 500, 750 1000ml Recyclable (Case of 300) (149mm Diameter)",Hot Food,"500ml, 750ml, 1000ml",pet,Brown/Kraft,300,21.62,Recyclable,"The 500ml / 750ml / 1000ml kraft Food Bowl Lids For 500, 750 ( Diameter) is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible food bowls, keeping contents fresh, contained, and visible. Ideal for meal prep, deli counters, and takeaway service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-bowl-lids-for-500-750-diameter,,,,,,,,,4 kg,
BWL-1000-KR-2,A48011,"PP Kraft Food Bowl Lids For 500, 750 1000ml Recyclable (Case of 300) (149mm Diameter)",Hot Food,"500ml, 750ml, 1000ml",pp,Brown/Kraft,300,22.99,Recyclable,"The 500ml / 750ml / 1000ml kraft Food Bowl Lids For 500, 750 ( Diameter) is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible food bowls, keeping contents fresh, contained, and visible. Ideal for meal prep, deli counters, and takeaway service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/food-bowl-lids-for-500-750-diameter-2,,,,,,,,,3 kg,
CNT-TY-KR,A48111,PP Lid for Kraft Paperboard Food Trays – Recyclable,Hot Food,,pp,Brown/Kraft,300,19.99,Recyclable,"The kraft Lid for Paperboard Food Trays is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid designed for compatible containers. Keeps contents fresh, contained, and protected during storage, display, and transport. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/lid-for-paperboard-food-trays,,,,,,,,,4 kg,
CNT,10162,PP Lid Stagione Recyclable (Case of 300),Hot Food,,pp,,300,36.51,Recyclable,"The Lid Stagione. A secure-fit lid designed for Stagione food trays. Keeps contents fresh, visible, and protected during display, transport, and storage. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/lid-stagione,N/A,170 mm,120 mm,18 mm,170 mm,120 mm,18 mm,N/A,N/A,
BWL-RD-KR-2,A48012,PP Lids For Extra Large Round Kraft Food Bowl Recyclable (Case of 300),Hot Food,1300ml,pp,Brown/Kraft,300,31.92,Recyclable,"The 1300ml kraft Lids For Extra Large Round Food Bowl is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible food bowls, keeping contents fresh, contained, and visible. Ideal for meal prep, deli counters, and takeaway service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/lids-for-extra-large-round-food-bowl,,,,,,,,,5 kg,
BWL-168-KR,63003,PP Lids For Large Kraft Round Food Bowl Recyclable (Case of 300) (168mm Diameter) (Dispo),Hot Food,1090ml,pp,Brown/Kraft,300,34.89,Recyclable,"The 1090ml kraft Lids For Large Round Food Bowl ( Diameter) (Dispo) is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible food bowls, keeping contents fresh, contained, and visible. Ideal for meal prep, deli counters, and takeaway service. Fully recyclable through standard paper or plastic recycling streams.",https://afida.com/products/lids-for-large-round-food-bowl-diameter-dispo,,,,,,,,,4 kg,
NO3KDV,,No 3 Kraft Food Carton (Case of 180),Hot Food,1800ml,,Kraft,180,38,Compostable,"The 1800ml No 3 Food Carton. A classic fold-top food carton for rice, noodles, stir-fries, and hot food. The tucked lid folds securely closed for transport. Grease-resistant lining protects the outer surface. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",,,,,,,,,,,
NO8KDV,,No 8 Kraft Food Carton (Case of 300),Hot Food,1360ml,,Kraft,300,48,Compostable,"The 1360ml No 8 Food Carton. A classic fold-top food carton for rice, noodles, stir-fries, and hot food. The tucked lid folds securely closed for transport. Grease-resistant lining protects the outer surface. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",,,,,,,,,,,
12PIZBKR,BOX031A,12 inch / 310 x 310mm Kraft Pizza Boxes,Hot Food,310xxx310mm,Kraft Paper,Brown/Kraft,100,24.68,Recyclable,"These 12 inch pizza boxes are built for the UK's most popular pizza size. The corrugated cardboard construction provides excellent insulation and protection, keeping pizzas hot and intact during delivery and collection. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 310 x 310mm internal size fits standard 12 inch medium pizzas with space for easy removal. Stackable design ensures efficient storage and fast service during busy periods. Recyclable when not heavily soiled with grease. Pack of 100 boxes.",https://afida.com/products/pizza-boxes-12-inch-310-x-310mm-kraft,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10 kg,
16PIZBKR,BOX036,16 inch / 406 x 406mm Kraft Pizza Boxes,Hot Food,406xxx406mm,Kraft Paper,Brown/Kraft,50,34.24,Recyclable,"These 16 inch pizza boxes accommodate large family-size pizzas. The extra sturdy corrugated cardboard construction provides excellent insulation and protection, keeping large pizzas hot and intact during delivery. Ventilation prevents sogginess without losing heat. The natural kraft finish creates an artisan, eco-friendly appearance that works perfectly with stamps, stickers, or printed sleeves for custom branding. The 406 x 406mm internal size fits large 16 inch pizzas with space for easy removal. Stackable design ensures efficient storage. Recyclable when not heavily soiled with grease. Pack of 50 boxes for pizzerias serving large family portions.",https://afida.com/products/pizza-boxes-16-inch-406-x-406mm-kraft,,,,,,,,,13 kg,
