keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url
packaging manufacturer,250,71,1,enviropack.org.uk,11,https://www.enviropack.org.uk/
food packaging manufacturer,250,7,1,enviropack.org.uk,4,https://www.enviropack.org.uk/
microwavable containers,250,2,1,enviropack.org.uk,12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers
wholesale cutlery,250,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/catering-packaging/catering-cutlery
sustainable packaging company,250,35,1,enviropack.org.uk,5,https://www.enviropack.org.uk/
ice cream box,250,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers
packaging companies uk,250,62,1,enviropack.org.uk,8,https://www.enviropack.org.uk/
eco-friendly packaging,250,9,1,enviropack.org.uk,10,https://www.enviropack.org.uk/
biopak uk,250,8,1,enviropack.org.uk,8,https://www.enviropack.org.uk/
disposable forks,250,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/cutlery
plastic party cups,250,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/disposable-plastic-cups
white paper plates,250,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/7-dia-white-paper-plates
paper table cloths,250,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/collections/paper-tablecovers
bendy straws,250,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/products/black-jumbo-plastic-drinking-straws
champagne flutes plastic,250,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-champagne-flutes
plastic fork,250,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-forks
chinese takeaway box,250,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/noodle-boxes
jager bomb glasses,250,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots
disposable spoons,250,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/products/strong-clear-disposable-plastic-spoons
polythene gloves,250,0,1,greenpak.supplies,6,https://greenpak.supplies/product/medium-clear-polythene-gloves/
baguette tray,250,0,1,greenpak.supplies,11,https://greenpak.supplies/product/compostable-black-baguette-tray/
coffee takeaway cup,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
custom burger boxes,200,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/kraft-burger-box/
food containers takeaway,200,2,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product-category/hot-food-containers/
take away box,200,2,2,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/food-packaging
paper takeaway bags,200,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/grab-bags/
takeaway packaging supplies,200,65,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/
sample packaging,200,0,2,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/free-packaging-samples/
custom takeaway coffee cups,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/
ice cream tubs with lids wholesale,200,0,1,takeawaypackaging.co.uk,13,https://takeawaypackaging.co.uk/online-shop/ice-cream-tubs-lids/
branded food packaging,200,40,2,greenpak.supplies,4,https://greenpak.supplies/
takeaway packaging uk,200,42,4,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/
takeaway packaging suppliers,200,50,3,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/
clear plastic cups with lids,200,0,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-clear-cups-lids/
salad boxes,200,0,2,takeawaypackaging.co.uk,11,https://takeawaypackaging.co.uk/online-shop/cold-food-containers/salad-boxes/
deli pots,200,0,2,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/cold-food-containers/biodegradable-deli-bowls-portion-pots-lids/
plastic coffee cups with lids,200,0,1,takeawaypackaging.co.uk,11,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
9oz,200,0,2,greenpak.supplies,4,https://greenpak.supplies/product/9oz-clear-pet-smoothie-cup/
kraft food boxes,200,0,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/kraftware/
cardboard burger boxes,200,0,2,enviropack.org.uk,4,https://www.enviropack.org.uk/hot-food-containers/burger-boxes
personalised coffee cups,200,1,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/branded-takeaway-coffee-cups/
custom food packaging,200,2,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/branded-packaging/
plant based packaging,200,7,1,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/a-guide-to-plant-based-packaging/
personalised greaseproof paper,200,1,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/branded-packaging/custom-printed-greaseproof-paper/
plastic wine glasses reusable,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/reusable-plastic-glasses
12oz cups,200,0,2,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/12oz-white-paper-cups
disposable cup,200,1,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/
drink cups,200,0,1,cupsdirect.co.uk,9,https://cupsdirect.co.uk/
food packaging companies,200,47,3,enviropack.org.uk,3,https://www.enviropack.org.uk/
disposable tea cups,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/
white paper cups,200,0,3,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/plain-white-paper-cups
small foil trays,200,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range
smoothie straws,200,0,1,cupsdirect.co.uk,12,https://cupsdirect.co.uk/collections/smoothie-drinking-straws
food packaging wholesale,200,1,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/collections/food-packaging
red solo cups,200,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/16oz-disposable-red-american-party-cups
cake boxes wholesale,200,0,1,cupsdirect.co.uk,13,https://cupsdirect.co.uk/collections/cake-boxes-deserts
soup containers with lids,200,0,2,cupsdirect.co.uk,9,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series
aluminium trays,200,0,1,cupsdirect.co.uk,3,https://cupsdirect.co.uk/products/aluminium-foil-catering-tray-range
slush straws,200,0,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/black-spoon-straws
jagerbomb glasses,200,0,2,eventsupplies.co.uk,2,https://eventsupplies.co.uk/products/jagerbomb-shot-glasses-bomb-shots
disposable paper cups,200,4,2,cupsdirect.co.uk,8,https://cupsdirect.co.uk/
soup containers,200,0,1,cupsdirect.co.uk,10,https://cupsdirect.co.uk/products/cupsdirect-kraft-heavy-duty-soup-pot-range-96-series
printed coffee cups,200,24,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
printed cups,200,50,1,cupsdirect.co.uk,1,https://cupsdirect.co.uk/collections/custom-printed-paper-cups
black coffee cup,200,0,1,cupsdirect.co.uk,5,https://cupsdirect.co.uk/products/black-ripple-weave-coffee-cup
food packaging companies uk,200,53,3,enviropack.org.uk,1,https://www.enviropack.org.uk/
food to go packaging,200,49,2,cupsdirect.co.uk,3,https://cupsdirect.co.uk/collections/food-packaging
kraft box,200,0,1,cupsdirect.co.uk,7,https://cupsdirect.co.uk/products/kraft-deli-food-box-range
12 inch pizza boxes,200,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/takeaway-pizza-boxes-12-kraft
hot drink cups,200,0,3,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/insulated-paper-cups
water cups,200,0,2,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/vending-water-cooler-cups
microwave containers,200,2,1,enviropack.org.uk,12,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers
6oz cups,200,0,2,eventsupplies.co.uk,5,https://eventsupplies.co.uk/products/6oz-white-paper-cups-flat-white
wooden cutlery set,200,0,1,enviropack.org.uk,14,https://www.enviropack.org.uk/tableware/tableware-cutlery
kraft bowl,200,0,2,greenpak.supplies,4,https://greenpak.supplies/product/500ml-kraft-bowl/
cold cup,200,0,1,enviropack.org.uk,3,https://www.enviropack.org.uk/cups-and-accessories/cold-cups
sabert,200,1,1,enviropack.org.uk,8,https://www.enviropack.org.uk/hot-food-containers/bepulp-by-sabert
eco friendly packaging materials,200,9,1,enviropack.org.uk,10,https://www.enviropack.org.uk/
good restaurant names,200,2,1,enviropack.org.uk,10,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html
disposable trays,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/catering-packaging/food-trays
food pack,200,24,1,enviropack.org.uk,9,https://www.enviropack.org.uk/
eco food packaging,200,27,1,enviropack.org.uk,1,https://www.enviropack.org.uk/
cardboard ice cream tubs,200,0,1,enviropack.org.uk,8,https://www.enviropack.org.uk/dessert-cookies/ice-cream-containers
burger boxes wholesale,200,0,2,enviropack.org.uk,2,https://www.enviropack.org.uk/hot-food-containers/burger-boxes
catering cutlery,200,1,1,enviropack.org.uk,11,https://www.enviropack.org.uk/catering-packaging/catering-cutlery
microwavable,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/hot-food-containers/microwavable-containers
sustainable packaging companies,200,21,1,enviropack.org.uk,6,https://www.enviropack.org.uk/
salad container,200,0,1,enviropack.org.uk,7,https://www.enviropack.org.uk/large-salad-container-with-window-kraft
dessert boxes,200,0,1,enviropack.org.uk,4,https://www.enviropack.org.uk/dessert-cookies
catering packaging,200,21,1,enviropack.org.uk,1,https://www.enviropack.org.uk/catering-packaging
plastic lids,200,0,1,eventsupplies.co.uk,6,https://eventsupplies.co.uk/products/lids-for-dispolite-plastic-containers
disposable pint glasses,200,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers
insulated cups for hot drinks,200,4,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/collections/insulated-paper-cups
12oz coffee cup,200,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/products/12oz-white-paper-cups
paper table covers,200,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/paper-tablecovers
coca cola cup,200,0,1,eventsupplies.co.uk,6,https://eventsupplies.co.uk/collections/coke-paper-cups
8 oz cup,200,0,1,eventsupplies.co.uk,7,https://eventsupplies.co.uk/products/8oz-white-paper-cups
plastic wine glasses for party,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/plastic-wineglasses
orange napkins,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/orange-paper-napkins-33cm-2ply
plastic coupe glasses,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/150ml-champagne-saucer-coupe
plastic wine glasses uk,200,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/collections/plastic-wineglasses
plastic reusable cups,200,1,1,eventsupplies.co.uk,8,https://eventsupplies.co.uk/collections/reusable-plastic-tumblers
coffee cups disposable,200,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/collections/paper-coffee-cups
soup cups,200,0,1,eventsupplies.co.uk,5,https://eventsupplies.co.uk/collections/paper-soup-containers
plastic party glasses,200,0,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/plastic-glasses
tortilla wrap boxes,200,0,1,greenpak.supplies,2,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
tortilla wrap packaging,200,0,1,greenpak.supplies,13,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
wrap packaging,200,0,1,greenpak.supplies,4,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
packaging supplier,200,74,1,greenpak.supplies,12,https://greenpak.supplies/
black paper bags,150,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/product/320x160x390mm-black-paper-grab-bag-block-bottom-bag-qty-300/
coffee lids,150,0,2,takeawaypackaging.co.uk,6,https://takeawaypackaging.co.uk/online-shop/cups/biodegradable-compostable-eco-cup-lids/
take away containers with lids,150,0,1,takeawaypackaging.co.uk,10,https://takeawaypackaging.co.uk/product/900ml-fastpac-2-compartment-lid-microwavable-container-qty-300/
paper coffee cups with lids,150,0,2,enviropack.org.uk,4,https://www.enviropack.org.uk/cups-and-accessories/lids-hot-cups
biodegradable packaging for food,150,22,3,enviropack.org.uk,2,https://www.enviropack.org.uk/
take away food containers,150,2,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/
paper boxes for food,150,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/paper-bags-food-carriers/food-carriers/
recyclable cups for hot drinks,150,0,1,takeawaypackaging.co.uk,7,https://takeawaypackaging.co.uk/online-shop/cups/recyclable-coffee-cups-lids/
plastic packaging for food,150,24,1,takeawaypackaging.co.uk,5,https://takeawaypackaging.co.uk/what-plastic-is-used-for-food-packaging/
recyclable food containers,150,0,2,takeawaypackaging.co.uk,1,https://takeawaypackaging.co.uk/online-shop/hot-food-containers/biodegradable-eco-bowl-and-lids/
sustainable food packaging uk,150,34,1,takeawaypackaging.co.uk,3,https://takeawaypackaging.co.uk/online-shop/
takeaway burger boxes,150,0,1,takeawaypackaging.co.uk,2,https://takeawaypackaging.co.uk/product/kraft-burger-box/
eco-friendly food packaging,150,8,1,takeawaypackaging.co.uk,8,https://takeawaypackaging.co.uk/online-shop/
salt and pepper sachets,150,0,1,takeawaypackaging.co.uk,9,https://takeawaypackaging.co.uk/online-shop/cup-accessories/condiments/
oven bags,150,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/bags-pouches/oven-able-bags
packaging for food,150,25,1,enviropack.org.uk,4,https://www.enviropack.org.uk/
unique restaurant names ideas,150,0,1,enviropack.org.uk,5,https://www.enviropack.org.uk/blog/260-unique-restaurant-names-for-every-cuisine.html
sushi tray,150,0,1,enviropack.org.uk,2,https://www.enviropack.org.uk/cold-food-containers/sushi-boxes
coffee paper cups,150,1,1,eventsupplies.co.uk,13,https://eventsupplies.co.uk/collections/paper-coffee-cups
white plastic wine glasses,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/plastic-wineglasses
12oz plastic cups,150,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/disposable-plastic-cups
plastic drinking straws,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/drinking-straws
plastic beer cups,150,0,1,eventsupplies.co.uk,2,https://eventsupplies.co.uk/collections/pint-and-half-pint-tumblers
large plastic cups,150,0,1,eventsupplies.co.uk,4,https://eventsupplies.co.uk/collections/disposable-plastic-cups
dip pots,150,0,1,eventsupplies.co.uk,14,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids
prep bowls,150,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/elite-3-prep-bowls
paper carrier bags wholesale,150,2,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/paper-bags
compostable food containers,150,0,1,eventsupplies.co.uk,11,https://eventsupplies.co.uk/collections/biodegradable-food-boxes
plastic pots with lids,150,0,1,eventsupplies.co.uk,12,https://eventsupplies.co.uk/products/4oz-plastic-sauce-pots-with-lids
clear plastic straws,150,0,1,eventsupplies.co.uk,9,https://eventsupplies.co.uk/products/clear-plastic-drinking-straws
black paper napkins,150,0,1,eventsupplies.co.uk,3,https://eventsupplies.co.uk/products/black-paper-napkins-33cm-2ply
fried chicken bucket,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/150oz-chicken-bucket/
fish and chip boxes,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/
burger trays,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/compostable-black-burger-tray/
fish and chips box,150,0,1,greenpak.supplies,8,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/
sandwich packaging box,150,0,1,greenpak.supplies,8,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
kraft bowls,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/500ml-kraft-bowl/
takeaway food packaging,150,51,1,greenpak.supplies,7,https://greenpak.supplies/
kraft burger box,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/premium-kraft-burger-box/
12oz ripple cups,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/12oz-kraft-ripple-cup/
hot dog trays,150,0,1,greenpak.supplies,2,https://greenpak.supplies/category/hot-food-packaging/hotdog-trays/
chip tray,150,0,1,greenpak.supplies,10,https://greenpak.supplies/product/compostable-kraft-chip-tray/
sos bags,150,0,1,greenpak.supplies,7,https://greenpak.supplies/product/extra-large-kraft-sos-paper-carrier-bag/
take away packaging,150,44,1,greenpak.supplies,3,https://greenpak.supplies/
green food packaging,150,16,1,greenpak.supplies,5,https://greenpak.supplies/
kraft salad bowls,150,0,1,greenpak.supplies,5,https://greenpak.supplies/product/500ml-kraft-bowl/
food packaging suppliers,150,47,1,greenpak.supplies,6,https://greenpak.supplies/
single wall cups,150,0,1,greenpak.supplies,6,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/
green pack,150,34,1,greenpak.supplies,1,https://greenpak.supplies/
takeaway supplies,150,0,1,greenpak.supplies,6,https://greenpak.supplies/
kids meal boxes,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/jungle-childrens-meal-boxes/
fish and chips boxes,150,0,1,greenpak.supplies,4,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/
takeaway boxes wholesale,150,43,1,greenpak.supplies,5,https://greenpak.supplies/
airlaid napkins,150,0,1,greenpak.supplies,9,https://greenpak.supplies/product/40cm-white-airlaid-8-fold-dinner-napkin/
disposable hot drink cups,150,0,1,greenpak.supplies,12,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/
10oz cup,150,0,1,greenpak.supplies,10,https://greenpak.supplies/product/10oz-green-effect-double-wall-hot-drink-cup/
packaging for food products,150,46,1,greenpak.supplies,4,https://greenpak.supplies/
food delivery packaging,150,0,1,greenpak.supplies,6,https://greenpak.supplies/
hot food packaging,150,0,1,greenpak.supplies,2,https://greenpak.supplies/category/hot-food-packaging/
blue wipes,100,0,1,greenpak.supplies,10,https://greenpak.supplies/product/general-purpose-wipes-on-a-roll-blue/
kraft ripple cups,100,0,1,greenpak.supplies,1,https://greenpak.supplies/product/8oz-kraft-ripple-cup/
premium burger box,100,0,1,greenpak.supplies,7,https://greenpak.supplies/product/premium-kraft-burger-box/
clamshell boxes,100,0,1,greenpak.supplies,15,https://greenpak.supplies/category/hot-food-packaging/clamshell-boxes/
food packaging supplies near me,100,53,1,greenpak.supplies,5,https://greenpak.supplies/
take away food boxes,100,1,1,greenpak.supplies,11,https://greenpak.supplies/
7 inch pizza box,100,0,1,greenpak.supplies,6,https://greenpak.supplies/product/7-kraft-pizza-box/
175ml glass,100,0,1,greenpak.supplies,11,https://greenpak.supplies/Shop
wrap box,100,1,1,greenpak.supplies,3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
slim jim glass,100,0,1,greenpak.supplies,4,https://greenpak.supplies/product/12-5oz-355ml-plastic-hi-ball-glass/
takeaway food box,100,2,1,greenpak.supplies,11,https://greenpak.supplies/
take away food packaging,100,0,1,greenpak.supplies,3,https://greenpak.supplies/
red mop,100,0,1,greenpak.supplies,5,https://greenpak.supplies/product/screw-in-socket-mop-head-red/
baguette box,100,0,1,greenpak.supplies,2,https://greenpak.supplies/product/kraft-baguette-box/
kentucky mop handle,100,0,1,greenpak.supplies,10,https://greenpak.supplies/product/kentucky-mop-handle-with-clips/
takeaway packaging wholesale,100,58,1,greenpak.supplies,6,https://greenpak.supplies/
chicken and chips box,100,0,1,greenpak.supplies,5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/
food packaging near me,100,41,1,greenpak.supplies,2,https://greenpak.supplies/
kraft tray,100,0,1,greenpak.supplies,8,https://greenpak.supplies/product/compostable-kraft-chip-tray/
chip boxes,100,0,1,greenpak.supplies,9,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/
packaging for wraps,100,0,1,greenpak.supplies,1,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
tortilla wrap box,100,0,1,greenpak.supplies,3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/
plastic soup containers,100,0,1,greenpak.supplies,9,https://greenpak.supplies/category/hot-food-packaging/soup-containers-lids/
custom takeaway packaging,100,41,1,greenpak.supplies,8,https://greenpak.supplies/
bagasse burger box,100,0,1,greenpak.supplies,2,https://greenpak.supplies/product/bagasse-burger-box-6-x-6/
plastic half pint glasses,100,0,1,greenpak.supplies,11,https://greenpak.supplies/category/cups-accessories/pint-half-pint-glasses/
chip trays,100,0,1,greenpak.supplies,4,https://greenpak.supplies/product/compostable-kraft-chip-tray/
food boats,100,0,1,greenpak.supplies,8,https://greenpak.supplies/product/medium-wooden-food-boat-170mm/
16oz plastic cups,90,0,1,greenpak.supplies,7,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/
kraft platter box,90,0,1,greenpak.supplies,8,https://greenpak.supplies/product/large-kraft-platter-box-insert/
4oz cup,90,0,1,greenpak.supplies,9,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/
food takeaway boxes,90,1,1,greenpak.supplies,4,https://greenpak.supplies/
chicken boxes,90,0,1,greenpak.supplies,5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/
black cocktail napkins,90,0,1,greenpak.supplies,8,https://greenpak.supplies/product/24cm-2-ply-black-cocktail-napkin/
